"a","a"
"a uzhu","a uju"
"achelem","acalambi"
"achem","acambi"
"achen","acan"
"achenem","acanambi"
"achevem","acabumbi"
"acheven","acabun"
"achiha","aciha"
"achuhiadem","acuhiyadambi"
"achun chachun","acun cacun"
"adali","adali"
"adaling","adalingga"
"adalshim","adališambi"
"adarem","adarame"
"adem","adambi"
"adenem","adanambi"
"adenevem","adanabumbi"
"adulem","adulambi"
"adulevem","adulabumbi"
"adun","adun"
"adunggiam","adunggiyambi"
"adur udur","adur udur"
"aduxi","adusi"
"age","age"
"age amh","age amha"
"ai","ai"
"ai dalji","ai dalji"
"ai jirhi","ai jergi"
"aifini","aifini"
"aiman","aiman"
"aimanzhandi","aimanjandi"
"ai manzhandi ivim","aimanjandi ifimbi"
"aimak","aimaka"
"aiqi","aici"
"aise","aise"
"aisim","aisembi"
"aitem","aitumbi"
"aitevem","aitubumbi"
"aivem","aifumbi"
"aixi","aisi"
"aixilaku","aisiloou"
"aixilem","aisilambi"
"aixilevem","aisilabumbi"
"aixin","aisin"
"aixini fian","aisini fiyan"
"aixing","aisingga"
"aihan","aihan"
"aihum","aihūma"
"aika","aika"
"aikabad","aikabade"
"aji iling","ajige ilenggū"
"aji kevel","ajige hefeli"
"aji maf","ajige mafa"
"aji maf","ajige mafa"
"aji nimang","ajige nimanggi"
"aji sahurun","ajige šahūrun"
"ajig","ajige"
"ajig ximhun","ajige simhun"
"ajigen","ajigen"
"ajigeng","ajige ningge"
"albaxi","albasi"
"aldaxi","aldasi"
"aldem","aldambi"
"aldeng","aldangga"
"aldengken","aldanggakan"
"aldevem","aldabumbi"
"aiedung","aldungga"
"alem","alambi"
"alevem","alabumbi"
"algim","algimbi"
"algimbum","algimbumbi"
"alishim","ališambi"
"alung","alung"
"alvatu","albatu"
"alven","alban"
"alven jiha","alban jiha"
"alven zhavem","alban jafambi"
"alveni fayaven","albani fayabun"
"alvenkam","alban kambi"
"alveshim","albašambi"
"alzhim","aljambi"
"alb","alba"
"alh qira","alha cira"
"alhudem","alhūdambi"
"alkem","alkūmbi"
"alken","alkūn"
"am bo","amba boo"
"am nimang","amba nimanggi"
"am sahurun","amba šahūrun"
"am ximhun","amba simhun"
"ambaling","ambalinggū"
"ambame","amba ama"
"amben","amban"
"ambeni","amba eme"
"amberem","ambarambi"
"amberevem","ambarabumbi"
"ambu","amba"
"ambu mur","amba muru"
"ambuning","amba ningge"
"amburkelem","ambarkalambi"
"amchem","amcambi"
"amchenem","amcanambi"
"amchevem","amcabumbi"
"amchidem gonim","amcadame gūnimbi"
"amdulum","amdulambi"
"amdun","amdun"
"ame","ama"
"amel","amala"
"ameley ame","amalai ama"
"ameley eni","amalai eniye"
"amenie","ameni"
"amerchim","amarcambi"
"amerchivem","amarcabumbi"
"amerem","amarambi"
"ameren","amuran"
"amerevem","amarabumbi"
"amerhi","amargi"
"amerhi fianji","amargi fiyanji"
"amerhi ten","amargi ten"
"amilem","amilambi"
"amkeni","amkeni"
"amsulem","amsulambi"
"amtelem","amtalambi"
"amtelevem","amtalabumbi"
"amten","amtan"
"amten ximten","amtan simten"
"amteng","amtangga"
"amteng mersa","amtangga mursa"
"amteng sus","amtangga šušu"
"amteshim","amtašambi"
"amxi","amasi"
"amh","amha"
"amha","amaga"
"amha urs","amaga urse"
"amha zhalen","amaga jalan"
"amhem","amgambi"
"amher bo","amgara boo"
"amhevem","amgabumbi"
"amken","ambakan"
"an","ainu"
"an","an"
"an jirhi","an jergi"
"an taqin","an tacin"
"anem","anambi"
"aneni","anani"
"anetem","anatambi"
"anevem","anabumbi"
"anfulem","anafulambi"
"ang","angga"
"ang alzhim","angga aljambi"
"ang jelim","angga jalimbi"
"ang qira","angga cira"
"ang sula","angga sula"
"ang tavxiku","angga tabsikū"
"ang uvarem","angga ufarambi"
"ang xönjim","angga sonjombi"
"ang zhorem","angga jorombi"
"angelem","anggalambi"
"angeling","anggalinggū"
"angey zhaven","anggai jabun"
"angterem","angtarambi"
"angxi","anggasi"
"angxilem","anggasilambi"
"ani","aniya"
"ani arem","aniya arambi"
"ani bia","aniya biya"
"anidari","aniya dari"
"aniy arvun","aniyai arbun"
"aniy ezhevun","aniyai ejebun"
"aniharen","aniya haran"
"anth","antaha"
"antherem","antaharambi"
"anzhu","anja"
"anhen","anagan"
"anhen bia","anagan biya"
"ank","anakū"
"ar","ara"
"arbusun","arbusun"
"arem","arambi"
"arem tiqivem","aram tucibumbi"
"arevem","arabumbi"
"arexi","arasi"
"arqi","arci"
"arselan","arsalan"
"arsen","arsun"
"arsen","arašan"
"arsen aha","arašan aga"
"arsenem","arsunambi"
"arseri","arsari"
"arun durun aku","arun durun akū"
"arvun","arbun"
"arvun mur","arbun muru"
"arvung","arbungga"
"arvung sarvung","arbung sarbung"
"arh","arga"
"arhamak","arhamaka"
"arhedem","argadambi"
"arhen","argan"
"arhim","argiyambi"
"arkan","arkan"
"arkan sim","arkan seme"
"arkarken","arkan karkan"
"as","aša"
"as","asu"
"as uhume","aša uhume"
"asari","asari"
"ashshan","aššan"
"ashshandum","aššandumbi"
"ashshanduvem","aššandubumbi"
"ashshasu","aššasu"
"asilem","asalambi"
"asim","ašumbi"
"asirem","asarambi"
"asirevem","asarabumbi"
"asivem","ašubumbi"
"aski","asuki"
"aspilin","aspilin"
"as'h","as'ha"
"as'hen","asihan"
"as'hen sahenji","asihan sarganjui"
"as'hen","asihan"
"as'heni bo","as'hani boo"
"as'heng","as'hangga"
"asheng xinger","as'hangga singgeri"
"ashening","asihan ningge"
"ata","atan"
"ata","ata"
"audechun","akdacun"
"audulum","akdulambi"
"auduluvum","akdulabumbi"
"audun","akdun"
"audun beki","akdun beki"
"auduning","akdun ningge"
"auduken","akdukan"
"auri","oori"
"auzhun","akjan"
"auzhunum","akjanambi"
"avderem","aburambi"
"ave","aba"
"avelem","abalambi"
"avelexi","abalasi"
"avelevem","abalabumbi"
"avem","afambi"
"aven","afan"
"aven dayin","afan dayin"
"aven jizhun","afan jijun"
"avendum","afandumbi"
"aver arh","afara arga"
"aver falen","afara falan"
"avevem","afabumbi"
"avexi","afasi"
"avxi","absi"
"avxi oqive","absi ocibe"
"avh","abdaha"
"avka","abka"
"avkay butun","abkai buten"
"avkay fian","abkai fiyan"
"avkay na","abkai na"
"avkay suhdun","abkai sukdun"
"avkay gasken","abkai gas'han"
"axita","asihata"
"ayan","ayan"
"ah","aha"
"ah nuh","aha nehu"
"ah ovum","aha obumbi"
"aha","aga"
"ahdem","akdambi"
"ahdevem","akdabumbi"
"ahsem","as'hambi"
"ahsenem","akšunambi"
"ahsevem","as'habumbi"
"ahsulum","akšulambi"
"ahsun","akšun"
"aht mörin","akta morin"
"ahtelem","aktalambi"
"ahtelevem","aktalabumbi"
"ahuldum","ahūldambi"
"ahun","ahūn"
"anun du","ahūn deo"
"ahur","agūra"
"ahur zhavden","agūra jabdan"
"akechik","akacuka"
"akechun","akacun"
"akem","akambi"
"akevem","akabumbi"
"aku","akū"
"akum","akūmbi"
"akumbum","akūmbumbi"
"akunum","akūnambi"
"akuqi","akū oci"
"akuvem","akūbumbi"
"ba","ba"
"ba ezhen","ba ejen"
"ba falevem","ba falabumbi"
"ba äqim","ba aššambi"
"bay tuqirsu","bai tucirsu"
"babad","babade"
"babe babe","bebu bebu"
"babelem","bebulambi"
"bacha","baca"
"badarem","badarambi"
"bai","bai"
"baibi","baibi"
"baichaxi","baicasi"
"baichem","baicambi"
"baichevem","baicabumbi"
"baige","baige"
"baige xindam","baige sindambi"
"baili","baili"
"bailing","bailingga"
"bainum","bainumbi"
"baisai","baisai"
"bait","baita"
"bait xita","baita sita"
"baitaku","baitakū"
"baitaku gisun","baitakū gisun"
"baitelem","baitalambi"
"baitelevem","baitalabumbi"
"baiteng","baitangga"
"baixin","baisin"
"bal","bal"
"bal bal","bal bal"
"balai","balai"
"balam","balama"
"balamdem","balamadambi"
"balbalchuk","balbalcuku"
"baltu","baltu"
"bana","bana"
"banay halen","banai halan"
"banay ürhan","banai nirugan"
"banazhen","banajen"
"banbi boro","banbi boro"
"bandan","bandan"
"bandanbal","bandan bal"
"bandas","bandase"
"bandem","bandambi"
"bando","bando"
"bang","bang"
"bangbal","bangbal"
"bangs","bangse"
"banin","banin"
"baniha","baniha"
"banihalem","banihalambi"
"banjibuxi","banjibusi"
"banjim","banjimbi"
"banjin","banjin"
"banjinem","banjinambi"
"banjirman","banjirman"
"banjitai","banjitai"
"banjitai banin","banjitai banin"
"banjitan","banjitan"
"banjivem","banjibumbi"
"banmo","banmo"
"bans","banse"
"banhun","banuhūn"
"banhushim","banuhūšambi"
"bardem","bardanggilambi"
"bardeng","bardanggi"
"bare","bara"
"baren","banun"
"baren","baren"
"barevem","barabumbi"
"barevem bodum","barabume bodombi"
"bargiahan","bargiyahan"
"barhim","bargiyambi"
"barungi","barunggi"
"basar","basar"
"basichun","basucun"
"basilem","basalambi"
"basim","basumbi"
"basivem","basubumbi"
"baston","baston"
"bata","bata"
"batur","baturu"
"batur kiangkien","baturu kiyangkiyan"
"batur mujilen","baturu mujilen"
"baturlum","baturulambi"
"baturung","baturungga"
"baturung nan","baturungga niyalma"
"baugau","boogoo"
"baulum","boolambi"
"baulum giam","boolame gaimbi"
"baus","boozy"
"bausai","boocai"
"baushe","booše"
"bauxan guis","boosiyan guise"
"bauzhalem","boojalambi"
"bayilem","bayalambi"
"bayin","bayan"
"bayin elhin","bayan elgiyen"
"bayinem","bayanambi"
"bayinevem","bayanabumbi"
"bazhang","bajang"
"bahem","bahambi"
"baher ton","bahara ton"
"bahenem","bahanambi"
"bahevem","bababumbi"
"bahqilem","bakcilambi"
"bahqilevem","bakcilabumbi"
"bahqin","bakcin"
"bahsen","baksan"
"bahtambun","baktambun"
"bahtem","baktambi"
"bahtembum","baktambumbi"
"bakalji","bakalji"
"baktaku","baktakū"
"be","be"
"becheheng","bucehengge"
"bechem","becembi"
"bechem","bucembi"
"bechem gukum","buceme gukumbi"
"bechem tuhum","buceme tuhembi"
"becher busku","bucere busbuku"
"beda","buda"
"beday bo","budai boo"
"bedalem","budalambi"
"bedaqi","budaci"
"bederem","bederembi"
"bederevem","bederebumbi"
"beh","behe"
"beh ilha","behe ilha"
"behe","behe"
"bei","bei"
"bei","beye"
"bei","beye"
"bei bei","beye beye"
"bei bei tom","beye beye tombi"
"bei beid","beye beyede"
"bei dursun","beye dursun"
"bei forshim","beye foršombi"
"bei iliteng","beye ilitangga"
"bei vehe","bei wehe"
"beidem","beidembi"
"beidexi","beidesi"
"beijing","beijing"
"beilem","beilembi"
"beilen","beilen"
"beis","beyese"
"beixaku","beye cihakū"
"beixil","beisil"
"beki","beki"
"bekilem","bekilembi"
"bekilevem","bekilebumbi"
"bel","bele"
"belcham","bulcambi"
"belchaku","bulcakū"
"belem","belembi"
"belen","belen"
"belevem","belebumbi"
"belhem","belhembi"
"belhevem","belhebumbi"
"belin","beliyen"
"belin hah","beliyen haha"
"beltahun","bultahūn"
"benem","benembi"
"benevem","benebumbi"
"bengde bangda","bekde bakda"
"bengdem","bekterembi"
"benglem","benglembi"
"bengneli","bengneli"
"bengsen","bengsen"
"benqan","benciyan"
"beram","burambj"
"berhen","berhen"
"berheng","berhengge"
"berheng beda","berhengge buda"
"beri","beri"
"beri beri","beri beri"
"berha","burga"
"berha halin","burga hailan"
"berkan","burkan"
"besam","bošombi"
"besinem","besenembi"
"besirhen","besergen"
"betam","butambi"
"beten","beten"
"betk","bethe"
"beyikun","beyekun"
"beyikun sahurun","beyekun sahūrun"
"beyim","beyembi"
"bi","bi"
"bi","bi"
"bia","biya"
"bia alh zhavem","biya alha jafambi"
"biadari","biya dari"
"bialem","biyalambi"
"bialjarem","biyaljiyarambi"
"bialqilaku","biyalcilakū"
"biam","baimbi"
"biang biang","biyang biyang"
"bianggian","biyanggiyan"
"biangsku","biyangsikū"
"biarenem","biyaranambi"
"biau","biyoo"
"biaxinem","biyasinambi"
"biaxög","biyasi sogi"
"biay soshun","biyai šošohon"
"biahun","biyahūn"
"biah sahun","biyahūn šahūn"
"bielqim","biyalcimbi"
"bierhim","bargiyambi"
"bijar","bijiyara"
"bilam","bilambi"
"bilim","bilumbi"
"biltem","biltembi"
"bilten","bilten"
"bilzham","biljambi"
"bilha","bilha"
"bilhan","bilgan"
"bim","bimbime"
"bingder bangder","bingder bangder"
"binggan","binggan"
"biohun","boihon"
"biqi","bici"
"biqive","bicibe"
"bira","bira"
"birek mo","bireku moo"
"birem","birembi"
"birem","bireme"
"biretei","biretei"
"birhan","birgan"
"bisan","bisan"
"bisarem","bisarambi"
"biterem","biturame"
"bitevem","bitubumbi"
"bithe","bithe"
"bithe chahen","bithe cagan"
"bithexi","bithesi"
"bithey kuren","bithei kuren"
"bithey pus","bithei puseli"
"bivem","bibumbi"
"bizham","bijambi"
"biha","biha"
"bihalem","bihalambi"
"bihan","bigan"
"bihan velgian","bigan ulgiyan"
"biharem","bigarambi"
"bo","be"
"bo","boo"
"bo gasen","boo gašan"
"bo huaren","boo kūwaran"
"boy heth","booi hethe"
"boy qiqike","booi cecike"
"bobi","boobei"
"bobilem","bobilembi"
"bobu","bobu"
"bodo","bodo"
"bodogon","bodogon"
"bodomin","bodomin"
"bodoqin","bodocin"
"bodum","bodombi"
"boduvum","bodobumbi"
"boigoji","boigoji"
"boihun","boigon"
"boji","boji"
"bojir ilha","bojiri ilha"
"boktun","bokton"
"boli","boli"
"bolka","bolka"
"bolori","bolori"
"bolori döxüm","bolori dosimbi"
"boloku","bulukan"
"bolokundi","bulukandi"
"boltohu","botoho"
"boltohun","boltohon"
"bolzhohun","boljohon"
"bolzhum","boljombi"
"bolzhun","boljon"
"bolhun","bolgo"
"bolhulum","bolgolombi"
"bolhukun","bolgokon"
"bolhukundi","bolgokondi"
"bolk tatem","boloko tatambi"
"bombonum","bombonombi"
"bong tong","bong tong"
"bong tong aldevem","bong tong aldabumbi"
"bongkonum","bongkonombi"
"boni","bono"
"boni","bonio"
"boqihi","bocihe"
"borduku","bordokū"
"bordum","bordombi"
"boro","boro"
"borum","borombi"
"borhulji","borhūlji"
"borhulum","borholombi"
"borhum","borhombi"
"borhun","borhon"
"bos","boso"
"bos zhodur jiqi","boso jodoro jici"
"bosa","boza"
"bos'hu","bos'ho"
"bos'hun","bokson"
"bosku","bošokū"
"bovulum","bofulambi"
"bovun","bofun"
"bovun bolos","bofun bolose"
"bohsunum","boksonombi"
"bohtos girang","boktos giranggi"
"bohtos girang dürüm","boktos giranggi durimbi"
"bohu","buhū"
"bohusulum","bohosolombi"
"bohuljir","bohūijir"
"bohulum","boholombi"
"buburshim","beberšembi"
"buburum","beberembi"
"buchun","becun"
"buchunum","becunumbi"
"buchunuvum","becunubumbi"
"budun","budun"
"budun alvatu","budun albatu"
"budungchang","budungcang"
"budülim","budulimbi"
"buhd gahd","buhtu gahta"
"buhdam","bukdambi"
"buhdari","bukdari"
"buhdavem","bukdabumbi"
"buhichun","buhiyecun"
"buhjürku","bukjireku"
"buhjürum","bukjirembi"
"buhsuhuri","buksuri"
"buhtu","buktu"
"buhu","buhi"
"buhulum","buhulembi"
"buhxim","buksimbi"
"buhxih chuah","buksihu cooha"
"buhxivem","buksibumbi"
"buku","buku"
"bukulum","bukulembi"
"bukum","bukumbi"
"bula","bula"
"buldun","buldun"
"buldur balder","bulder baldar"
"bulhim","bulhimbi"
"bulhu","bulehen"
"buling kiling","buleng kileng"
"buljin","buljin"
"bultarem","bultarambi"
"buluksem","bulekušembi"
"bulum","bulembi"
"bulun","bulun"
"bulung","bulung"
"bulung qülung","bulung cioilung"
"bulungku","buleku"
"bum","bumbi"
"bumber bamber","bumbur bambar"
"bumbuku","bumbuku"
"bumbulchuk","bumbulcuku"
"bunai","bunai"
"bung","bung"
"bungsunum","bungsunembi"
"bupiau","bupiyoo"
"buraki","buraki"
"burhilem","burkilembi"
"burhin","burgiyen"
"burhin","burgin"
"burhin barhin","burgin bargin"
"burhin burhin","burgin burgin"
"burhindum","burgindumbi"
"burhishim","burgišambi"
"burhu","burhu"
"buri bari","buru bara"
"burim","burimbi"
"burkim","burkimbi"
"burkivum","burkibumbi"
"burudum","burudembi"
"buruhun","buruhun"
"burul mörin","burulu morin"
"burulum","burulambi"
"bumluvum","burulabumbi"
"burun","buren"
"burhasim","burgašambi"
"buskulum","bušukulembi"
"buthin","buthin"
"butu","butu"
"butuy bodum","butui bodombi"
"butum","butumbi"
"butuvum","butubumbi"
"butumji","butumji"
"butun","buten"
"buthaxi","buthasi"
"buvum","bubumbi"
"buya","buya"
"buya bel","buya bele"
"buyechuku","buyecuke"
"buyem","buyembi"
"buyenin","buyenin"
"buyenin nekelin","buyenin nekeliyen"
"buyevem","buyebumbi"
"buzhan","bujan"
"buzhan berha","bujan burga"
"buzhang","bujang"
"buzhilem","bujylembi"
"buzhum","bujumbi"
"buzhuvum","bujubumbi"
"buha","buha"
"bökur tökur","bokior tokior"
"bölmo","bolimo"
"bölmo hohu","bolimo hoho"
"chachari","cacari"
"chai","cai"
"chailem","cailambi"
"chais","caise"
"chal","calu"
"chalbelaku","calbelakū"
"chalchal","calcala"
"chalevem","calabumbi"
"chaleven","calabun"
"chalin","caliyan"
"cham","cambi"
"chamhan","camhan"
"chamhar","camhar"
"changbilan","cangbilan"
"changlem","canglembi"
"changler qiqike","canglara cecike"
"chans","canse"
"char char","car car"
"charani","cargi aniya"
"charchem","carcambi"
"charem","carumbi"
"charem","carame"
"charh even","caruha efen"
"chas","cbase"
"chas'hulem","cas'hūlambi"
"chas'hulevem","cas'hūlabumbi"
"chas'hun","cas'hūn"
"chas'hun udun","cas'hūn edun"
"chaunau","jangnoo"
"chauxan","coosiyan"
"chav chav","cab cab"
"chaval","cawal"
"chavder mörin","cabdara morin"
"chahu","cahū"
"chak mohs","caka mokso"
"chakelem","cakalambi"
"chakezhim","cakajambi"
"chaksem","caksambi"
"chakur","cakūra"
"chakur tavenem","cakūra tafanambi"
"chakur mo","cakūran moo"
"checherem","cecerembi"
"checherku","cecerku"
"cherherku","cecerku"
"chekem","cekemu"
"chekenem","cekenembi"
"chekse","sikse"
"chelmerem","celmerembi"
"chendem","cendembi"
"cheng cheng","ceng ceng"
"chengfen","cengfen"
"chengzhilem","cengjelembi"
"cher sir zhak","cer sere jaka"
"chis","cese"
"chis","cese"
"chis","cese"
"chizhirem","cejerembi"
"chof chaf","cob cab"
"chol","colo"
"cholhurum","colgorombi"
"chongsum","congšombi"
"chorok chorok","corok corok"
"chorudum","corodombi"
"chorun","coron"
"chorhu","corho"
"chousung","ceosung"
"chohsum","coksombi"
"chohsuvum","coksobumbi"
"chohtoi","cohotoi"
"chohtu","cokto"
"chohtulum","coktolombi"
"chohum","cohome"
"chohur","cohoro"
"chohur baher","cohoro bahara"
"choko","coko"
"choko sengel","coko senggele"
"choko sengel ilha","coko senggele ilha"
"choko umhan","coko umhan"
"chu","coo"
"chuan","cuwan"
"chuang","cuwang"
"chuanglem","cuwanglembi"
"chuah","cooha"
"chuahtem","coohatembi"
"chuahey nan","coohai niyahna"
"chuahey kuaren","coohai kūwaran"
"chubanshe","cubanše"
"chuchu chacha","cucu caca"
"chukulum","cukulembi"
"chukum","cukumbi"
"chukurhun","cukurhun"
"chulhalem","culgalambi"
"chulhan","culgan"
"chumbul chumbul","cumbuli cumbuli"
"chun chuni","cun cuni"
"chuna","cuna"
"chunungku","cirku"
"churhin","curgin"
"churhindum","curgindumbi"
"churhu","curhu"
"churunem","cirumbi"
"chus","cuse"
"da","da"
"da ani","da ani"
"da ba","da ba"
"da duv","da dube"
"da maf","da mafa"
"da susu","da susu"
"dachang","dacang"
"dachak","dacakū"
"dachun","dacun"
"dachun suhdun","dacun sukdun"
"dachukun","dacukan"
"dad","dade"
"dahechem","dahacambi"
"dahilem","dagilambi"
"dahilevem","dagilabumbi"
"dahim","dahime"
"daif","daifu"
"daifurem","daifurambi"
"daikuan","daikuwan"
"dailem","dailambi"
"daiqim","daišambi"
"daisibohodi","daisubohodi"
"daisilem","daiselembi"
"dalang dalang","dalang dalang"
"dalang diling","dalang diling"
"dald","dalda"
"daldem","daldambi"
"daldeng","daldangga"
"daldevem","daldabumbi"
"dalen","dalan"
"dalezhim","dalajambi"
"dalhi","dalhi"
"dalhidem","dalhidambi"
"dalji","dalji"
"daljilem","daljilambi"
"daljilevem","daljilabumbi"
"daljing","daljingga"
"dalve","dalba"
"dalves'hun","dalbas'hūn"
"dalvey bo","dalbai boo"
"dam","damu"
"dam","dambi"
